[2022-11-30 17:20:09] [info]  [ 8904] Apache Commons Daemon procrun (1.3.1.0 64-bit) started.
[2022-11-30 17:20:10] [info]  [ 8904] Running Service 'Tomcat10'...
[2022-11-30 17:20:10] [info]  [ 6916] Starting service...
[2022-11-30 17:20:17] [info]  [ 6916] Service started in 7484 milliseconds.
[2022-12-10 14:48:58] [info]  [ 3832] Console SHUTDOWN event signaled.
[2022-12-10 14:48:58] [info]  [ 3832] Stopping service...
[2022-12-10 14:48:59] [info]  [ 3832] Service stop thread completed.
[2022-12-10 14:48:59] [info]  [ 8904] Run service finished.
[2022-12-10 14:48:59] [info]  [ 8904] Apache Commons Daemon procrun finished.
